verb,participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,vf_acc,vn_acc,pn_acc,error_fields,translation,transcription,verb_number,patient_number,word_order,comments
makelaugh,К06,makelaugh-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Два дедушки смешат двух бабушек,Ынпыӄлавола  наконачачгав'ын'нэв'.. ынпыӈэв’эт,3,2,AVP,
boil,К06,boil-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Женщина варит курицу,"Эльг,ата кукупаньн,ынин г,итутг,улу",1,3,AVP,
hang,К06,hang-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Два дедушки вешают картину,Ынпыӄлаволат  нэкунпаньн'ын  калитг'о,1,3,AVP,
shoot,К06,shoot-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,0,1,vn_acc,Девочка стреляет в двух мальчиков ,Н'авытк'атпиляк'а  кулк'эйнэвын'нит к'айыкмин'ат,2,2,AVP,
throw,К06,throw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Две девочки бросают два мяча,Н'авытк'атпэлякыт нэкунын'лын'нив'  к'апылат,3,2,AVP,
wake,К10,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две женщины будят двух мужчин,"Эльг'ата  нэкуг'эйнев,нын  г’оячеко",1,3,AVP,
carry,К10,carry-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Женщина несёт два ведра,Эльг'апель  кунн'инин ведрав'э,1,3,AVP,
dress,К10,dress-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Бабушка одевает двух дедушек,Чачамйа  кунэпыв'нын'ынин  пальто,1,1,AVP,
cut_hair,К10,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мальчика стригут двух девочек,Г’оячеко накопаев'нав' эльг'ав'э,3,3,AVP,
water,К10,water-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,0,1,vn_acc,Два мальчика поливают один цветок,Г’оячеко  накополин'нынэв'  в'ытв'ыт,3,1,AVP,
push,К10,push-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две девочки толкают двух мальчиков,Эльг'ата  нэкупынг'ылын'нынэв'  г’оячеко,3,3,AVP,
carry,К10,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Двое мужчин несут два ведра,Г’оячекэта нэкунн'ин'нын  ведра,1,1,AVP,
feed,К10,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две бабушки кормят двух дедушек,Чачамйа  нэкунэв'эн'ныв'  апапов',3,3,AVP,
wake,К10,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мужчина будит двух женщин,Г’оячек куныкг'евын'нин элг'апэляк'о,1,3,AVP,
hang,К10,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Дедушка вешает две картины,э.. Апапо куквортэн'нынын картинав',1,3,AVP,
teach,К10,teach-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две женщины учат двух мужчин,Эльг'апэляка  нэкунгуючев'ын'нын  г’оляв',1,3,AVP,
tie,К10,tie-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мальчик связывает двух девочек,Г’оячекенак кукылтыткун'нин' эльг'ав'э,1,3,AVP,
cover,К10,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мужчина накрывает два цветка ,Г’оячекенак кономалгын'нын в'ытв'ыто,1,3,AVP,
break,К14,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мальчика ломают два домика,К'айыкмин'а  накончимав'н'ын  яян'а,1,1,AVP,
hang,К14,hang-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Две бабушки вешают две картины,че это? ага.. Чачамйык  наконнёпаньн'ын  картинкат,1,2,AVP,
feed,К14,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две бабушки кормят двух дедушек,"Чачамйа нэкунынев,инын ынпын'эт",1,2,AVP,
hang,К14,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Дедушка вешает две картины,Ынпыӄлавола коннёпаньн'ын  картинкав',1,3,AVP,
dress,К14,dress-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,1,0,pn_acc,Два дедушки одевают двух бабушек,Ынпын'эйык наконпальтов'ныт чачамйит,2,1,AVP,
pull,К14,pull-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Девочка везёт санки,Н'авык'к'алюта кыг'аг'ан'нин  як'алынав',1,3,AVP,
cut_hair,К14,cut_hair-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Девочка стрижет двух мальчиков,Н'авык'к'алюта  копаев'н'ын  к'айыкминат,1,1,AVP,
cover,К14,cover-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины накрывают два цветка,Н'авык'к'алюйык так'лэн'ытыв' нак'айпын'нын,1,3,AVP,
break,К17,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мальчика ломают два домика,"К'айыкмин'а накончимав'н'ынан  яя,в'",1,3,AVP,
wake,К17,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две женщины будят двух мужчин,"Н'авычӈэ нэкуныкг'эйнев,нын г'олят",1,2,AVP,
clean,К17,clean-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две бабушки чистят два пальто,"Чачамйа након,айтг'ан,нынав'  ичг'ыв'",3,3,AVP,
push,К17,push-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мальчик толкает двух девочек,К'айыкмин'а  купынг'ылынин  н'авык'к'алю,1,1,AVP,
pour,К17,pour-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Двое мужчин обливают двух женщин,Г'олята накунытг'ав'н'ыв' н'авычӈэ,3,1,AVP,
boil,К17,boil-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка варит две курицы,Чачамйа  копаньн'ынин йив'йив',1,3,AVP,
scold,К17,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две девочки ругают двух мальчиков,Н'авык'к'алюта накокытг'айн'ан'ан к'айыкмин'ат,1,2,AVP,
push,К17,push-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две девочки толкают двух мальчиков,Н'авык'к'алюта нэкупынг'ылыныв' к'айыкмин'у,3,3,AVP,
carry,К17,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Двое мужчин несут два ведра,"Г'олята нэкимтын,ныв' кукэв'",3,3,AVP,
boil,К17,boil-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины варят две курицы,Н'авычӈэ накопаньн'ынив' йыв'йыв',3,3,AVP,
eat,К17,eat-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Женщина ест два яблока,Н'авык'к'алюта кугитэйнин яблоко,1,1,AVP,
pick,К17,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мальчика срывают два цветка,К'айыкмин'а  нэкуепыйг'ын'нын  в'ытв'ыто,1,3,AVP,
teach,К17,teach-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две женщины учат двух мужчин,Н'авычӈэ  нэкунгыев'н'ныв'  г'оляв',3,3,AVP,
cover,К17,cover-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины накрывают два цветка,Н'авык'к'алюта накайпын'нив'  в'ытв'ыто,3,3,AVP,
tie,К17,tie-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мальчик связывает двух девочек,К'айыкмин'а кукылтын'нин н'авык'к'алю,1,1,AVP,
scold,К17,scold-1-1-r.png,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1,1,animate,1,1,0,pn_acc,Девочка ругает мальчика ,К'айыкмин'а кокытг'айн'ан'ан н'авык'к'алют,1,2,AVP,
hit,К17,hit-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Девочка бьет двух мальчиков,Н'авык'к'алюта койкыплын'нын к'айыкмин'у,1,3,AVP,
pick,К17,pick-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка срывает два цветка,Н'авык'к'алюта куепыйг'ын'нын  в'ытв'ыто,1,3,AVP,
tie,К17,tie-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две девочки связывают двух мальчиков,Н'авык'к'алюта  нэкукылткыйнын'нив' к'айыкмин'у,3,3,AVP,
water,К17,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две девочки поливают два цветка ,Н'авык'к'алюта накутг'ав'н'ын  в'ытв'ыто,1,3,AVP,
clean,К20,clean-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две бабушки чистят два пальто,Аняйык накучистин'нын пальтов',1,3,AVP,
hit,К20,hit-2-1-l.png,inverse,inverse_2_agents_1_patient_animate_patient,"2 agents, 1 patient, animate patient",2,1,animate,1,1,0,pn_acc,Две девочки бьют мальчика,Н'авык'к'алюйык накойкыплын'нын к'айыкминат,1,2,AVP,
saw,К20,saw-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Дедушка пилит два бревна,А.. Апапонак купилян'нын утту,1,3,AVP,
saw,К20,saw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мужчины пилят два бревна,Г'оляйык накупилян'нын утту,1,3,AVP,
pick,К20,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мальчика срывают два цветка,К'айыкмин'ыйык нэкупыйг'ын'ныв' в'ытв'ыто,3,3,AVP,
carry,К20,carry-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,0,1,vn_acc,Две женщины несут ведро,Н'авык'к'алюта нэкунн'ин'ныв' ведро,3,1,AVP,
throw,К20,throw-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мальчик бросает два мяча,К'айыкмин куйичвытын к'апыла,1,1,AVP,
give_water,К20,give_water-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мужчины поят двух женщин,Г'оляйык нэкуелын'нын сок,1,1,AVP,
plant,К20,plant-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины сажают два дерева,"Н'авычӈэйык накокопайын,нын утту",1,3,AVP,
break,К22,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мальчика ломают два домика,"К'айыкмин'а  накончимав'н'ынав'  яя,пиляв'",3,3,AVP,
feed,К22,feed-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Дедушка кормит двух бабушек,Г'олята кунэв'эньнин н'авычӈо,1,3,AVP,
carry,К22,carry-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Женщина несёт два ведра,Н'авык'к'алюта  кунн'ин'нын  ведров',1,3,AVP,
teach,К22,teach-1-1-r.png,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1,1,animate,1,0,1,vn_acc,Женщина учит мужчину,Н'авычӈэн копан'энатав' г'оляна,3,1,AVP,
paint,К22,paint-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка красит две доски,Н'авык'к'алюта кокрасин'нын уттыпэляк'у,1,3,AVP,
clean,К22,clean-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две бабушки чистят два пальто,Анята нэкучистин'нынэв' пальтов',3,3,AVP,
push,К22,push-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,0,1,vn_acc,Мальчик толкает двух девочек,К'айыкмин'а гэкупы.. купынг'ылынив'  н'авык'к'алют,3,2,AVP,
break,К22,break-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка ломает два домика,Н'авык'к'алюта кончимав'ын'нин яяв',1,3,AVP,
pick,К22,pick-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,0,1,vn_acc,Две девочки срывают один цветок,Н'авык'к'алюта нэкунпыйг'ын'эв' в'ытв'ыт,3,1,AVP,
carry,К22,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Двое мужчин несут два ведра,Г’олята нэкунн'ин'ныв'  ведров',3,3,AVP,
feed,К22,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две бабушки кормят двух дедушек,Анята нэкунэв'эн'ныв' апапэляк'о,3,3,AVP,
water,К22,water-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Девочка поливает цветок,Н'авык'к'алюта кимлытг'ын'нин в'ытв'ыто,1,3,AVP,
wake,К22,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мужчина будит двух женщин,Г'олята куныкг'евын'нин н'авычӈо,1,3,AVP,
dress,К22,dress-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два дедушки одевают двух бабушек,Г'олята н..накопальтон'ынав' чачамйа,3,3,AVP,
cut_hair,К22,cut_hair-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Девочка стрижет двух мальчиков,Н'авык'к'алюта  копаев'н'ын к'айыкмину,1,3,AVP,
treat,К22,treat-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две женщины лечат двух мужчин,Н'авычӈэта нэкунмэлэв'ын'нив' г'оляв',3,3,AVP,
paint,К22,paint-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Два мальчика красят две доски ,К'айыкмин'ыт нэкукрасин'нын уттыт,1,2,AVP,
pull,К22,pull-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мальчик везёт двое санок,К'айыкмин'а кунин'нин  уетыкпэляк'о,1,3,AVP,
pick,К22,pick-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка срывает два цветка,Н'авык'к'алюта куйичвин'ын в'ытв'ыто,1,3,AVP,
pull,К22,pull-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две девочки везут двое санок ,Н'авык'к'алюта нэкуенин'нив' уетыкпэляк'о,3,3,AVP,
break,К25,break-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка ломает два домика,Н'авыткатпиляк'а кончимав'ын'нин яяпель,1,1,AVP,
open,К25,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка открывает две двери ,Чачамйа кунв'эн'энын'нин тыллытыл,1,1,AVP,
pick,К25,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,1,0,pn_acc,Два мальчика срывают два цветка,К'айыкмин'ыйык нэкунынг'ев'ыныт в'ытв'ытэ,2,3,AVP,
makelaugh,К25,makelaugh-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Бабушка смешит двух дедушек,Чачамйа коначачгав'ын'нэн  ынпыӄлаволатэ,1,3,AVP,
carry,К25,carry-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Две женщины несут ведро,Навыткатпэлякайык  нэкимт'ин'нын  кукэн'эт,1,2,AVP,
wash,К25,wash-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Бабушка моет двух дедушек,Чачамйа  кылгытэв'ын'нин  ынпыӄлаволатэ,1,1,AVP,
water,К25,water-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мальчик поливает два цветка,К'айыкмин'а  кимлытг'ын'нин  в'ытв'ытэ,1,3,AVP,
plant,К25,plant-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,1,0,pn_acc,Две женщины сажают два дерева,Эльг'айык нэкунынн'эв'ит в'ытв'ытэ,2,3,AVP,
water,К25,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две девочки поливают два цветка ,Н'авытк'атпэлякайык  накимлытг'ын'нин  в'ытв'ыт,1,1,AVP,
plant,К25,plant-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мужчина сажает два дерева ,Г’уемтэв’илг’э  кунынн'эв'ин  в'ытв'ыт,1,1,AVP,
teach,К25,teach-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,0,1,vn_acc,Мужчина учит двух женщин ,Г’уемтэв’илг’э кунгылыев'н'ныт  эльг'ат,2,2,AVP,
burn,К25,burn-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка сжигает две книги,Чачамйа кумилгынг'этын калитг'кула,1,1,AVP,
cover,К25,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мужчина накрывает два цветка ,Г’уемтэв’илг’э кэначг'эн'нын в'ытв'ытэ,1,3,AVP,
water,К24,water-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Два мальчика поливают один цветок,Г’оячекенак  накимлытг'ын'ын  мэчг'ыт,1,2,AVP,
water,К24,water-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Девочка поливает цветок,Эльг'ата кимлытг'ын'нин мэчг'ыт,1,2,AVP,
wake,К24,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,0,1,vn_acc,Мужчина будит двух женщин,Г’оячекенак куныкг'евын'ныт эльг'апэлякыт,2,2,AVP,
scold,К24,scold-1-1-r.png,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1,1,animate,1,0,1,vn_acc,Девочка ругает мальчика ,Эльг'ата кокытг'айн'ан'ыт г’оячекпэль,2,1,AVP,
tie,К24,tie-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две девочки связывают двух мальчиков,Эльг'айык  накылтын'нэв'  г’оячекыт,3,2,AVP,
give_water,К07,give_water-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,NA,vn_acc,Два мужчины поят двух женщин,К'айыкмин'а нэкунн'ин'нэв' мимыл,3,NA,AVP,
shoot,К07,shoot-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мальчика стреляют в двух девочек ,"К'айыкмин'а.. нэкулк'эйн,ыв'ын'нин эльг'апиляк'ан",1,1,AVP,
break,К16,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мальчика ломают два домика,"это ломают? Н,ыечгэйи к'айыкмин'ыт  накончимав'н'ынын  яян'а",1,1,AVP,
open,К16,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка открывает две двери ,Чачамйа куенвэн'эньн'ынин н'ыччек тыллытыл,1,1,AVP,
pick,К16,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,1,0,pn_acc,Два мальчика срывают два цветка,Н'ыччек к'айыкмин'ыт нэкугитейныт в'ытв'ыт ,2,1,AVP,
feed,К16,feed-1-1-r.png,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1,1,animate,1,1,0,pn_acc,Бабушка кормит дедушку,Чачамйа кунэв'эньнынин ынпыт,1,2,AVP,
cut_hair,К16,cut_hair-2-1-l.png,inverse,inverse_2_agents_1_patient_animate_patient,"2 agents, 1 patient, animate patient",2,1,animate,1,1,0,pn_acc,Две девочки стригут мальчика,"Ны..н,ыечгэйи н'авык'к'алют накопаев'н'ын к'айыкминыт",1,2,AVP,
cover,К16,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мужчина накрывает два цветка ,Г'олята коёлынын н'ыччек  в'ытв'ыт,1,1,AVP,
