participant_list,item ,condition: topical,transcription,repetition,sentence type,word order,"SOL, ms"
KSM_b2,23,none,wuljajen marjajeλ piλa...,ok,NA,NA,1877
KSM_b2,24,A,ʂi supeλen wuljajeλ λapetti ʂi pitseλλe,ok,act,PV,2132
REI_a2,1,P,ʂi mašinajeλen wuljajeλen jeʂa toλesi,ok,pass,AV,3345
REI_a2,2,none,mašajen wuljajeλ šănš eweλt poxelmasλe,ok,act,APV,4821
REI_a2,3,A,mašajen xošma λometti parseλλe paltajen masλe,ok,act,PV,2921
REI_a2,4,P,xoleng jinkeλ wuljajeλ ??? šošemseλλe,ok,NA,NA,2067
REI_a2,5,none,wuljaen marjaeλ nux kuretλe,ok,act,APV,3980
REI_a2,6,A,ʂalta wuljajeλ ʂi xuren λjuxatti pitseλλe,ok,act,PV,3649
REI_a2,7,P,juxmaλ jupijen marja- wuljajen marjajeλ λapseλλe,ok,act,P-APV,3216
REI_a2,8,none,marjajen wuljajeλa potum jink šapti mas,ok,NA,NA,2780
REI_a2,9,A,marjajeλ wonsha ʂi keλen jirseλλe,ok,act,PV,3662
REI_a2,10,P,ʂipijin marjajeλen šartsa,ok,pass,AV,2473
REI_a2,11,none,wuljajen mašajeλ joxeλen eseλseλλe,ok,act,APV,3228
REI_a2,12,A,не пойму что они делают,ok,NA,NA,7000
REI_a2,13,P,wuljajen marjajeλe janshup mas,ok,NA,NA,4043
REI_a2,14,none,marjaen wuljajeλ paltajen λomteλλe,ok,act,APV,2496
REI_a2,15,A,jinkeλen marjajen šošemseλλe,ok,act,PV,2721
REI_a2,16,P,marjajen wuljajeλ luk eweλt njoλen eseλseλλe,ok,act,APV,4436
REI_a2,17,none,marjajen wannaja λjuxuλti λunes,ok,NA,NA,4689
REI_a2,18,A,ʂi pata wuljajeλ aj mašinaen tosλe,ok,act,PV,6444
REI_a2,19,P,ʂi pata wuljajejen pɵxəλməsɨ,ok,pass,AV,4562
REI_a2,20,none,marjajen wuljajeλ keλen wonshije jirseλλe,ok,act,APV,5841
REI_a2,21,A,ʂalta mašajejen λavtum pata mašeken šartseλλe,ok,NA,NA,9478
REI_a2,22,P,nux kilti pura jis nux kilti pura juvum masajeλen kuš uvuλa,ok,NA,NA,3836
REI_a2,23,none,wuljajen ??? marjajen pa moseλtesλe,ok,act,APV,5617
REI_a2,24,A,ʂi supeλen wuljajeλ λapseλλe,ok,act,PV,2415
REI_b1,1,A,ʂi mašinaeλen marjaeλ toλλe,ok,act,PV,3978
REI_b1,2,P,ʂi pata marjaeλen šănš eweλt poxelmasɨ ,ok,pass,AV,3122
REI_b1,3,none,wuljaen mašajeλ palta λometti lupseλλe,ok,act,APV,1628
REI_b1,4,A,ʂi xoleng  jinkeλen wuljaeλ šošemeseλλe,ok,act,PV,2975
REI_b1,5,P,alengaje wuljaejejen sienga uwman nux kurtsa,ok,pass,AV,3118
REI_b1,6,none,wuljajen xura λipije λunes marjajeλen λjuxatti oλnitsa,ok,pass,PAV,5252
REI_b1,7,A,ʂipijin marjaeλ λapseλλe,ok,act,PV,2329
REI_b1,8,P,jink janʂ??? marjajeλen jinken tosi,ok,pass,AV,3989
REI_b1,9,none,wuljaen keλ ???tesλe pa marjaeλ ʂi keλen wonshije jirseλλe,ok,NA,NA,2235
REI_b1,10,A,ʂi pata ʂipijin wuljanajeλ šartseλλe,ok,act,PV,2570
REI_b1,11,P,ʂi njoλen wuljajen λuxti eseλseλλe,ok,NA,NA,6164
REI_b1,12,none,marjaen wuljaeλ nux moseλteλλe ,ok,act,APV,7408
REI_b1,13,A,marjaeλa sok mas,ok,NA,NA,7136
REI_b1,14,P,marjaeλen kim junti partsa ,ok,pass,AV,3832
REI_b1,15,none,wuljajen marjaeλ jink wetrajen šošemseλλe,ok,act,APV,2737
REI_b1,16,A,ʂipijin wuljaeλ njoλen juxman njoλen eseλseλλe ,ok,act,PV,5009
REI_b1,17,P,jošλaλ kuritλaλ ??? wuljaeλen xuren nux λjuxtsa ,ok,pass,AV,7747
REI_b1,18,none,marjaen wuljaeλ aj mašinaje omseseλλe mašinajen ʂi tosλe,ok,act,APV,2767
REI_b1,19,A,marjaeλ jira wošseλλe,ok,act,PV,11032
REI_b1,20,P,marjajejen ʂi pata wonshije keλen jirsa,ok,pass,AV,5551
REI_b1,21,none,??? marjaen pa wuljajen ??? pitsengen,ok,NA,NA,2548
REI_b1,22,A,ʂipijin wuljaeλ nux rutti manes,ok,NA,NA,12621
REI_b1,23,P,ʂi pata wuljaeλen moseλtesɨ ,ok,pass,AV,3707
REI_b1,24,none,marjaen xozhum jinken wuljaeλ λapseλλe,ok,act,APV,5058
SED__a2,1,P,ʂi mašinkajeλen pa marjajen wuljajeλen ʂi toλesi kamen,ok,pass,PAV,1240
SED__a2,2,none,ši morozheny pata wuljajen pa marjajen kukinga jisngen ,ok,NA,NA,833
SED__a2,3,A,ʂalta marjajen palta λometti partseλλe,ok,act,PV,1028
SED__a2,4,P,λuxtum jinkeλ marjajeλen wuljajen šošemesi,ok,pass,APV,1085
SED__a2,5,none,ʂalta alengaje marjaen wuljajeλen sienga nux ʂi kurtsa,ok,pass,PAV,1231
SED__a2,6,A,ʂi jinkeλ xoleng pa wuljajeλ nux λjuxseλλe,ok,act,PV,944
SED__a2,7,P,ʂi ??? wuljajeλen pa marjajen ʂi λapsa,ok,pass,APV,1164
SED__a2,8,none,ʂalta marjajen wuljajeλ jink janʂti parseλλe,ok,act,APV,1044
SED__a2,9,A,ʂi keλ wuljajen wusλe pa pa marjajeλ jira jirseλλe,ok,NA,NA,859
SED__a2,10,P,ʂi pata marjajeλen wuljajen pa kulinga ʂi jisngen,ok,NA,NA,1067
SED__a2,11,none,ʂi joxeλen pa njoλaλen wuljajen marjajeλ esλes,ok,act,APV,971
SED__a2,12,A,ʂalta marjajen morozheny ??? wuljajeλe lupseλλe,ok,NA,NA,1253
SED__a2,13,P,ʂi soken marjajen wuljajeλen pa janʂesi,ok,pass,PAV,1172
SED__a2,14,none,ʂalta marjaen wuljajeλ pa porx šopen λometti parseλλe,ok,act,APV,1297
SED__a2,15,A,ʂi jinken pa marjajen šošemesλe,ok,act,PV,1793
SED__a2,16,P,ʂalta njoλen junti pitsengen marjajeλen wuljajen njoλen essa,ok,pass,APV,1262
SED__a2,17,none,ʂalta kavrum jink jupijin marjajen wuljajeλen λjuxtsa,ok,pass,PAV,1412
SED__a2,18,A,ʂalta wuljajeλ mašinajeλ ??eλλe pa ʂi tosλe,ok,act,PV,1154
SED__a2,19,P,ʂalta ???  marja wuljajejen jira wošetsa,ok,pass,PAV,2056
SED__a2,20,none,??? marjajen wuljajeλ keλen nux jirmas,ok,act,APV,1289
SED__a2,21,A,ʂalta wuljajen marjajen ʂi xatčesλе sems eweλt,ok,act,APV,1184
SED__a2,22,P,ʂalta alenga jis pa marjajeλen nux ʂi kuretti pitsa,ok,pass,AV,1478
SED__a2,23,none,wuljajen marjajen peλa lopas,ok,NA,NA,1295
SED__a2,24,A,ʂalta ʂi supeλen marjajen wuljajeλ ʂi λapseλλe,ok,act,APV,1303
SED_b1,1,A,ʂi mašinkajeλen pa mašajeλ ʂi toλeλλe ,ok,act,PV,1242
SED_b1,2,P,marjajeλen ʂalta jira wošetsa,ok,pass,AV,1543
SED_b1,3,none,wuljajen  mašajeλa palta mas- paltajen λometti parseλλe,ok,act,APV,2621
SED_b1,4,A,marjajen jinkeλ pa wuljajen šošemesλe,ok,act,APV,4176
SED_b1,5,P, alengaje wuljajeλen nux ʂi kurtsa,ok,pass,AV,1081
SED_b1,6,none,ʂi xuren wulja- marjajeλen wuljajen λjuxtsa,ok,pass,PAV,1056
SED_b1,7,A,ʂi ??? marjajeλ λaptes,ok,act,PV,3555
SED_b1,8,P,ʂi kompot marjajeλen λaptsa,ok,pass,AV,3328
SED_b1,9,none,ʂi keλaλen pa wuljajen marjajen nux jirmas,ok,act,APV,892
SED_b1,10,A,ʂi pata wuljajeλen kutinga jisngen,ok,NA,NA,1323
SED_b1,11,P,ʂi njoλeλen wuljajeλen marjajeλ ʂi eseλti pitsa ʂalta,ok,pass,AV,1201
SED_b1,12,none,marjajen wuljajen peλa lopas ???,ok,NA,NA,1753
SED_b1,13,A,sokes marjajeλa mas janʂi,ok,NA,NA,1409
SED_b1,14,P,ʂalta marjajeλen nux aketti partsa,ok,pass,AV,2333
SED_b1,15,none,ʂi jinki ... pa wuljajeλen tema,ok,NA,NA,1607
SED_b1,16,A,ʂalta wuljajeλ wusλe pa njoλen eseλseλλe,ok,act,PV,1221
SED_b1,17,P,ʂalta wuljajeλen pa ʂi pijin marjajen nux λjuxtsa,ok,pass,APV,1579
SED_b1,18,none,ʂi museje marjajen wuljajeλ mašinajen tosλe,ok,act,APV,1374
SED_b1,19,A,ʂi uxaλ marjajen aλemas,ok,NA,NA,1419
SED_b1,20,P,marjajen keλ tos pa marjajeλen nux jirsa,ok,pass,AV,1686
SED_b1,21,none,ewengaλan kutinga juwman ,ok,NA,NA,1792
SED_b1,22,A,ʂalta wuljajen nux kuretti ʂi pitseλλe,ok,act,PV,1516
SED_b1,23,P,ʂalta wuljajejen ʂi pata λaweλtesi,ok,pass,AV,1190
SED_b1,24,none,ʂi xozhum jinken pa marjajen wuljajeλ λapseλλe,ok,act,APV,2231
RLI__b3,1,none,wuljaen mašinajen marjaeλ toλeλλe,ok,act,APV,2402
RLI__b3,2,A,marjajen wuljajeλ jira wošλeλλe,ok,act,APV,1620
RLI__b3,3,P,marjaen wuljajeλen paltajen λomteλi,ok,pass,PAV,1365
RLI__b3,4,none,marjaen wuljaeλ jinken temseλλe,ok,act,APV,1478
RLI__b3,5,A,wuljaen marjaeλ nux kurtλeλλe,ok,act,APV,1246
RLI__b3,6,P,wuljajen xura omses...,ok,NA,NA,1146
RLI__b3,7,none,wuljajen marjajeλ λapλeλλe,ok,act,APV,1661
RLI__b3,8,A,marjajen wuljajeλ jinken janʂeλλe ,ok,act,APV,1634
RLI__b3,9,P,marjajen wuljajeλen keλen wonshije jirsa,ok,pass,PAV,1567
RLI__b3,10,none,marjaen wuljaeλ mašeken šartseλλe,ok,act,APV,1648
RLI__b3,11,A,wuljajen njoλen marjajaeλ eseλseλλe ,ok,act,APV,1108
RLI__b3,12,P,wuljajen marjaeλen wenš puneλ eweλt moseλtesɨ ,ok,pass,PAV,2048
RLI__b3,13,none,wuljajen marjajeλ janʂeλλe,ok,act,APV,2121
RLI__b3,14,A,marjaen wuljajeλ paltajen λomteλλe,ok,act,APV,1774
RLI__b3,15,P,marjajen wuljajeλen jinken šošemsa,ok,pass,PAV,1502
RLI__b3,16,none,marjaen njoλ eweλt wuljajeλa eseλ,ok,NA,NA,1755
RLI__b3,17,A,wuljaen marjajeλ λjuxtλeλλe,ok,act,APV,1442
RLI__b3,18,P,wuljajen marjajeλen aj mašinaen toλeλi,ok,pass,PAV,1433
RLI__b3,19,none,wuljaen marjajeλ jira woštλeλλe,ok,act,APV,1712
RLI__b3,20,A,marjajen wuljaeλ keλen wonshije jirseλλe,ok,act,APV,1596
RLI__b3,21,P,marjajen wuljajeλen mašeken šartsa,ok,pass,PAV,1720
RLI__b3,22,none,marjaen wuljaeλ nux kurtλeλλe,ok,act,APV,1516
RLI__b3,23,A,wuljajen marjajeλ wenš puneλ eweλt moseλtesλe,ok,act,APV,1753
RLI__b3,24,P,wuljajen marjaeλen supen λapsa,ok,pass,PAV,1715
RLI_a1,1,A,ʂi mašinaeλen wuljajen marjaeλ toλesλe,ok,act,APV,1812
RLI_a1,2,P,marjajen wuljajeλ jira woštseλλe,ok,act,APV,2081
RLI_a1,3,none,wuljaen marjajeλ palta λometti parseλλe,ok,act,APV,1644
RLI_a1,4,A,xoleng jinkeλ marjajen wuljanajeλ šošemeseλλe,ok,act,APV,3342
RLI_a1,5,P,alenga wuljaejeλen nux kurtsa,ok,pass,AV,2746
RLI_a1,6,none,wuljanejen si xura omses....,ok,NA,NA,2380
RLI_a1,7,A,wuljajen marjaeλ njaλ eweλt λapseλλe,ok,act,APV,2958
RLI_a1,8,P,marjajen wuljajeλ jinken janʂeλλe ,ok,act,APV,3886
RLI_a1,9,none,wuljajen marjajeλ keλen wonshije jirseλλe,ok,act,APV,2878
RLI_a1,10,A,marjaen wuljaeλ mašeken šartseλλe,ok,act,APV,3387
RLI_a1,11,P,wuljajnajen ʂi njoλen eweλt marjajeλ eseλseλλe,ok,act,APV,4407
RLI_a1,12,none,так это чего они ругаются?,ok,NA,NA,7000
RLI_a1,13,A,wuljajen soken marjajeλ janʂesλe,ok,act,APV,2392
RLI_a1,14,P,marjaen wuljajeλ paltajen λomteλλe,ok,act,APV,2428
RLI_a1,15,none,wuljajen marjaeλ jinken šošemseλλe,ok,act,APV,2452
RLI_a1,16,A,marjaen njoλ eweλt wuljajena esλes,ok,NA,NA,2086
RLI_a1,17,P,marjajen jinken xur lipijin omasλ ...,ok,NA,NA,2596
RLI_a1,18,none,marjajen wuljajen mašinaen toλeλλe,ok,act,APV,2817
RLI_a1,19,A,wuljaen marjajeλ jira woštλeλλe,ok,act,APV,2543
RLI_a1,20,P,marjajen wuljaeλ keλen wonshije jirseλλe,ok,act,APV,2310
RLI_a1,21,none,wuljajejen marjajen jošen šartseλλe,ok,act,APV,3411
RLI_a1,22,A,marjajen aleng wuljaeλ nux kurtseλλe,ok,act,APV,3085
RLI_a1,23,P,wuljajen marjajeλ wenš puneλ eweλt moseλtesλe,ok,act,APV,2860
RLI_a1,24,none,marjajen wuljanajeλ njaλ eweλt λapseλλe,ok,act,APV,2247
TVG_a3,1,none,wuljaen pa mašaeλ mašinajen toλeλλe,ok,act,APV,2545
TVG_a3,2,A,marjajen wuljanajeλ ʂi poxelλeλλe,ok,act,APV,1860
TVG_a3,3,P,marjaen λomtsuxλaλ wuljanajen λomtλajt,ok,pass,PAV,3855
TVG_a3,4,none,marjaen pa jinken iλ temseλλe wuljanajeλ piλa,ok,act,APV,1894
TVG_a3,5,A,wuljaen- marjaen aleng uwuλ wuljanajen ʂi kurtλa,ok,NA,NA,2598
TVG_a3,6,P,wuljajen pevaλ mašajeλen λjuxtλa,ok,pass,PAV,2102
TVG_a3,7,none,wuljanajeλ marjajeλ supen λapλeλλe,ok,act,APV,2915
TVG_a3,8,A,marjajen kompoten wuljajeλ λapλeλλe,ok,act,APV,3131
TVG_a3,9,P,wuljanajeλen pa keλen marjajen iλ jirsa,ok,pass,APV,2559
TVG_a3,10,none,marjaen pa wuljanajeλ piλa kuλa pitλeten,ok,NA,NA,1872
TVG_a3,11,A,wuljajen njoλ eweλt marjajaeλa ʂi kitλeλλe njoλiλaλ,ok,act,APV,2322
TVG_a3,12,P,wuljajen marjaeλ piλa moseλtɨ iλtaten ,ok,NA,NA,2269
TVG_a3,13,none,wuljanajen marjajeλ soken janʂeλλe,ok,act,APV,1625
TVG_a3,14,A,marjaen wuljanajeλ paltajen λomatλ,ok,act,APV,2704
TVG_a3,15,P,wuljanajen marjajen jinken šošemseλλe,ok,act,APV,2243
TVG_a3,16,none,marjajen pa njoλen wuljanajeλ utseλλe,ok,act,APV,1957
TVG_a3,17,A,wuljaen marjajeλ λjuxtλeλλe,ok,act,APV,1803
TVG_a3,18,P,marjajen wuljajeλ aj mašinaen xatλeλλe,ok,act,APV,1724
TVG_a3,19,none,wuljanajen marjajeλ ʂi poxelλeλλe,ok,act,APV,3445
TVG_a3,20,A,marjajen wuljanajeλ iλ jirseλλe pa ???,ok,act,APV,2422
TVG_a3,21,P,wuljanajen marjajeλ ʂi sengkλeλλe,ok,act,APV,2236
TVG_a3,22,none,wuljanajen uλ marjajejen nux kurtλa,ok,pass,PAV,2329
TVG_a3,23,A,wuljajen marjajeλ moseλteλλe,ok,act,APV,3983
TVG_a3,24,P,marjajen pa wuljajnajeλ supen λapλeλλe,ok,act,APV,2244
TVG_b1,1,A,wuljaen mašaeλ toλeλλe mašinajen,ok,act,APV,2049
TVG_b1,2,P,mašjen wuljajeλ piλa juntλeten,ok,NA,NA,2561
TVG_b1,3,none,wuljanajen mašajen λomteλλe,ok,act,APV,4039
TVG_b1,4,A,marjaen wetrajeλ iλ šošemseλλe,ok,act,AV,4309
TVG_b1,5,P,aleng pa uλ wuljanajeλen nux kurtλa,ok,pass,AV,1458
TVG_b1,6,none,wuljanajen λjuxtti iλti pites mašajeλen λjuxtλa,ok,NA,NA,2134
TVG_b1,7,A,wuljajen mašajeλ λapseλλe,ok,act,APV,2174
TVG_b1,8,P,marjajen wuljajen jinken janʂeλλe,ok,act,APV,4059
TVG_b1,9,none,wuljanajen mašajeλ juxa iλ jirseλλe,ok,act,APV,1790
TVG_b1,10,A,ʂalta pa marjaen kuλa pitti wuljanajen xuzhi naptes,ok,act,APV,2664
TVG_b1,11,P, njoλ eseλti wuljanajen marjajen pites ,ok,act,APV,1649
TVG_b1,12,none,wuljajen pa marja piλa moseλtɨ iλtaten ,ok,NA,NA,2228
TVG_b1,13,A,wuljanajen marjajeλ soken janʂeλλe,ok,act,APV,1334
TVG_b1,14,P,wuljajen mašajen piλa λometti ???,ok,NA,NA,3493
TVG_b1,15,none,šatšašem tum jink iλ ʂi šošemλa,ok,NA,NA,2240
TVG_b1,16,A,marjajen njoλ eweλt wuljanajen ʂi eseλseλλe,ok,act,APV,2175
TVG_b1,17,P,marjjen λjuxtti iλti pites wuljanejeλen λjuxtλa,ok,NA,NA,3522
TVG_b1,18,none,marjajen wuljanajen mašinaen toλeλλe,ok,act,APV,3747
TVG_b1,19,A,wuljanajen mašajeλ ʂi poxelmasλe,ok,act,APV,2135
TVG_b1,20,P,mašajen pa wuljajeλ iλ jirseλλe ,ok,act,APV,2936
TVG_b1,21,none,wuljanajen pa mašajen kuλa pitsengen ,ok,NA,NA,4511
TVG_b1,22,A,in pa wuljanajeλen marja pa wuljana nux kurtλa,ok,NA,NA,2701
TVG_b1,23,P,wuljanajen marjajeλ moseλteλλe,ok,act,APV,3765
TVG_b1,24,none,mašajen wuljajnajeλ xozhum jinken λapλeλλe,ok,act,APV,2152
SLT_a1,1,A,ʂi mašinajeλ wulajen ʂi mašinaje omseseλλe marjajeλ pa ʂi toλi,ok,NA,NA,2682
SLT_a1,2,P,marjajen wuljajeλ poxelλeλλe,ok,act,APV,9212
SLT_a1,3,none,"mašajen ????, wuljanajeλen pa λomti",ok,NA,NA,3474
SLT_a1,4,A,"wuljana ??? juxtes ???, marjaeλen wetra eweλt  jinken šošemλa",ok,NA,NA,4901
SLT_a1,5,P,marjaje uλ wuljanajeλen ʂi uwuλa nux kurtλa,-,NA,NA,4917
SLT_a1,6,none,wuljanajen si xura omses pevaλti...,ok,NA,NA,2881
SLT_a1,7,A,wulja muxti kavermaλ...,ok,NA,NA,4008
SLT_a1,8,P,marjajen kompoten anλ xuzha wana manes ???,-,NA,NA,3942
SLT_a1,9,none,wuljanajen pa mašajen juntman...,ok,NA,NA,5133
SLT_a1,10,A,wuljana λawetti pites (ругает) marjajeλen ... marjajeλen semλ piλa xatčesi,ok,pass,PVA,5331
SLT_a1,11,P,wuljana luken njoλ wus pa mašajen piλa eseλti pites ,-,NA,NA,4535
SLT_a1,12,none,maša šokoladny maw λes ...,ok,NA,NA,6738
SLT_a1,13,A,ʂi sok wantλ piλa manes mašajeλ xuzha trubochka eweλt mašajena ???,-,NA,NA,3176
SLT_a1,14,P,kamen pa jiška jis pa maša manλ palta?? wuljajeλa ,ok,NA,NA,4235
SLT_a1,15,none,???,ok,NA,NA,4068
SLT_a1,16,A,pa ʂi junti pitsengen pa marja luk njoλaλ eweλt eseλ wuljanajen peλa,ok,NA,NA,2813
SLT_a1,17,P,maša xura omses peveλti...,ok,NA,NA,3437
SLT_a1,18,none,marjajen omses wuljajeλ mašinaje toλi ...,ok,NA,NA,4618
SLT_a1,19,A,wuljana pa marja juntman poxelmasλengen,ok,NA,NA,5433
SLT_a1,20,P,šašen jurajen keλ pa ʂi woitseλλe...,ok,NA,NA,5082
SLT_a1,21,none,ʂi ??? kuλa pitsengen ...,ok,NA,NA,2629
SLT_a1,22,A,wuljana uλ marjaeλen nux kurtλa,ok,NA,NA,5421
SLT_a1,23,P,wulja pa ???,-,NA,NA,4961
SLT_a1,24,none,maša ana punes pa manes wuljajeλ λapetti,ok,NA,NA,3024
SLT_b2,1,P,wulajnaken mašinajen- mašajen omses mašinajen wuljanejen toλi,ok,NA,NA,4884
SLT_b2,2,none,marjajen xoλeλ wuljanajen jupijin poxelmati wutčeλλe,ok,NA,NA,12172
SLT_b2,3,A,wuljanajen mašajeλa maλ palta λometti,ok,act,APV,4299
SLT_b2,4,P,"wuljajen xoli jis, marjaeλen jink šošemλa",-,NA,NA,7389
SLT_b2,5,none,katjajen xuw uλ wuljanajeλen nux kurtλa,ok,NA,NA,5785
SLT_b2,6,A,wuljanajen omses wannaje...,ok,NA,NA,5612
SLT_b2,7,P,wuljana kaša kavertes...,ok,NA,NA,3776
SLT_b2,8,none,maša toλ jinki stakan...,ok,NA,NA,2966
SLT_b2,9,A,wuljana keλ λotes...,-,NA,NA,3353
SLT_b2,10,P,mašajen juntman...,-,NA,NA,6176
SLT_b2,11,none,как называется то,-,NA,NA,7000
SLT_b2,12,A,???,ok,NA,NA,3934
SLT_b2,13,P,wuljanajen marjajena maλ jink ...,ok,NA,NA,5134
SLT_b2,14,none,maša ?? maλ wuljajeλa palta λometti,ok,NA,NA,2988
SLT_b2,15,A,???,ok,NA,NA,5610
SLT_b2,16,P,pa mašajen luk njoλaλ piλa joša pavdes wuljanaeλa eseλ,ok,NA,NA,4491
SLT_b2,17,none,mašajen omses wannaje ...,ok,NA,NA,3613
SLT_b2,18,A,marjajen wuljanajeλ aj mašinajen kataetλeλλe,ok,act,APV,6730
SLT_b2,19,P,marjajen ??? wuljanajeλen poxelmatti wutčeλi,ok,pass,PAV,7288
SLT_b2,20,none,maša juntman wuljanajeλ nux jirseλλe,ok,act,APV,3482
SLT_b2,21,A,wuljajen mašajeλ semλ piλa xatčes,ok,act,APV,5309
SLT_b2,22,P,mašajen juxtes wuljanajen nux kuretti,ok,NA,NA,2297
SLT_b2,23,none,in pa wuljajen ??? pa moseλtesλe mašajeλ,ok,NA,NA,4372
SLT_b2,24,A,marjajeλ λapetλ wuljanajeλ,ok,act,AVP,2776
ZAL_b3,1,none,ʂi mašinajλen marjaeλ- wuljajen marjajeλ kataetλ,ok,act,APV,1420
ZAL_b3,2,A,marjajen wulja ??? juntsengen,ok,NA,NA,2042
ZAL_b3,3,P,in marjaen antjeλen λomteλi,ok,pass,PAV,3027
ZAL_b3,4,none,ʂaλta marjaen wuljaeλ pura šošemasλe jinkeλ,ok,act,APV,2588
ZAL_b3,5,A,marjajejen nux- wuljaen marjaeλ nux kurtλeλλe,ok,act,APV,2249
ZAL_b3,6,P,wuljajen pevelti omses...,ok,NA,NA,3147
ZAL_b3,7,none,wuljajen marjajeλ λant jink λapetλ,ok,act,APV,2265
ZAL_b3,8,A,marjajen wuljajeλ kompoten janʂeλ ,ok,act,APV,2921
ZAL_b3,9,P,wuljajeλen marjajen nux jirum,ok,pass,APV,2353
ZAL_b3,10,none,marjaen wulja sangen kuλaʂλangen ,ok,NA,NA,2332
ZAL_b3,11,A,njoλeλ marjajaeλ welpasλeλλe ,ok,act,PV,1322
ZAL_b3,12,P,marjajen wulja ??? juntλengen,ok,NA,NA,1953
ZAL_b3,13,none,wuljajen marjajeλ soken janʂeλλe,ok,act,APV,2190
ZAL_b3,14,A,marjaen wuljajeλ porx šop λomaλ,ok,act,APV,2707
ZAL_b3,15,P,wuljajejen marjajeλ xura jink šošemes,ok,act,APV,2961
ZAL_b3,16,none,marjaen wuljajeλ eseλseλλe,ok,act,APV,2038
ZAL_b3,17,A,wuljaen marjajeλ pevlepteλλe,ok,act,APV,2020
ZAL_b3,18,P,ʂaλta marjajejen wuljajen aj mašinaen ʂi taλλa,ok,pass,APV,2427
ZAL_b3,19,none,marjajen wulja ??? juntλengen,ok,NA,NA,1592
ZAL_b3,20,A,marjajen wuljaeλ juxa nux jirumaλ,ok,act,APV,2488
ZAL_b3,21,P,wuljajejen xatčesi,ok,pass,AV,2407
ZAL_b3,22,none,wuljaen uλ marjajejen nux uwuλa,ok,NA,NA,2609
ZAL_b3,23,A,wuljajen marjasang ???-du,ok,NA,NA,2113
ZAL_b3,24,P,marjaejen wuljajen supeλen λapλa,ok,pass,APV,2248
TPM_a1,1,A,wuljajen marjajen mašinkajen taλeλλe,ok,act,APV,2790
TPM_a1,2,P,marjajen wuljajen jira poxelmasλe,ok,act,APV,3687
TPM_a1,3,none,wuljaen mašajeλ jirma  λomtesλe,ok,act,APV,2816
TPM_a1,4,A,mašajen jinken iλ šošemseλλe,ok,NA,NA,3347
TPM_a1,5,P,aleng wuljaejejen nux kurtλa,ok,pass,AV,2699
TPM_a1,6,none,mašajen wuljajen xurajin λjuxtλeλλe,ok,act,APV,2626
TPM_a1,7,A,wuljajen mašaeλ λapseλλe,ok,act,APV,2304
TPM_a1,8,P,mašajen wuljajena jink tos,ok,NA,NA,3185
TPM_a1,9,none,wuljajen mašajen keλen juxa jirum,ok,act,APV,2857
TPM_a1,10,A,wuljaena xatčes,ok,act,PV,2542
TPM_a1,11,P,joxλ eweλt juvutλ wuljajajenjoxλ eweλt juvutλ  (пустить стрелу),ok,NA,NA,2171
TPM_a1,12,none,marjaen wuljajen moseλtesλe,ok,act,APV,3350
TPM_a1,13,A,marjajen soken janʂesλe,ok,act,PV,1870
TPM_a1,14,P,marjaen wuljajeλ λomteλλe,ok,act,APV,2766
TPM_a1,15,none,wuljajen marjaeλ jinken šošemseλλe,ok,act,APV,2368
TPM_a1,16,A,marjaen joxλ eweλt juvutλ,ok,NA,NA,2984
IEM_a1,1,A,wuljajen mašajeλ mašinkaje omseλλe pa toλλe,ok,act,APV,2361
IEM_a1,2,P,mašajejen jira poxelmasi,ok,pass,AV,1503
IEM_a1,3,none,wuljanajen mašajeλ palta mas- palta λomettɨ partes,ok,act,APV,2258
IEM_a1,4,A,marjajen jinkeλ kim šošemes wuljanejeλ kura,ok,NA,NA,1515
IEM_a1,5,P,wuljanajen marjajeλ nux kurλeλ,ok,act,APV,1900
IEM_a1,6,none,marjajen wuljanajen won xureλen λjuxetti pitseλλe ,ok,act,APV,1699
IEM_a1,7,A,wuljanajen mašajeλ λapλeλλe,ok,act,APV,1992
IEM_a1,8,P,maša- wuljajen mašajeλen kompoten janʂeλi,ok,pass,A-PAV,1977
IEM_a1,9,none,wuljanajen mašajeλ keλe jirmaλ keλe wonshije jirmaλ,ok,act,APV,3144
IEM_a1,10,A,marjajen wuljanajeλ semλeλ xatčesλe ,ok,act,APV,2298
IEM_a1,11,P,marjajen wuljanajeλ njoλen eseλ (перепутала),ok,NA,NA,3635
IEM_a1,12,none,mašajen wuljanajen moseλtesλe ,ok,act,APV,2371
IEM_a1,13,A,wuljajen soken marjajeλ janʂeλλe,ok,act,APV,2903
IEM_a1,14,P,marjajen wuljanajen palta λomettɨ partseλλe,ok,act,APV,2046
IEM_a1,15,none,wuljanajen jinkeλ mašajen kura šošemseλλe,ok,NA,NA,1580
IEM_a1,16,A,marjajen wuljanajen njoλen esλeλλe,ok,act,APV,1710
IEM_a1,17,P,wuljanajen marjajen peveλ,-,NA,NA,2243
IEM_a1,18,none,marjaen wuljanajeλ mašinkajen katajetλ,-,NA,NA,1546
IEM_a1,19,A,wuljanajen marjajen jira pɵxəλməsλe,ok,act,APV,1822
IEM_a1,20,P,wuljajen marjajeλen wonshije jirsa,ok,pass,PAV,2589
IEM_a1,21,none,wuljaen mašajeλ semλeλ xatʂesλe ,ok,act,APV,2868
IEM_a1,22,A,marjajen wuljanajen nux kurλeλλe,ok,act,APV,1908
